Año, País,  PIB, PIB PERCAPITA, emisiones de co2, emisiones de co2 percapita, tasa natalidad, tasa mortalidad, población
;México;74.97;1201094;10261;503396;4.17;19.49;5.47;117054000
;Nicaragua;72.95;10532;1735;4791;0.82;22.92;5.04;6071000
;Panamá;77.19;40430;10674;10661;2.83;20.68;4.95;3788000
;Paraguay;73.07;33283;5151;5615;0.88;21.9;5.41;6461000
;Perú;74.98;192882;6400;48681;1.61;19.54;5.55;30135875
;Rep. Dom;72.52;60747;6275;22202;2.19;20.97;6.05;9681000
;Uruguay;77;51266;14962;8675;2.55;14.26;9.6;3426000
;Venezuela;73.04;331628;11294;190156;6.36;20.14;5.82;29362449
2013;Argentina;75.76;611471;14489;201082;4.73;17.83;7.67;42203000
;Bolivia;69.47;30883;2929;18161;1.75;23.66;7.06;10542376
;Brasil;74.48;2471529;12357;532382;2.63;14.77;6.15;200004000
;Chile;79.35;278345;15804;84999;4.87;14;5.79;17612000
;Colombia;76.11;381844;8103;77656;1.64;15.95;4.1;47121000
;Costa Rica;79.23;50326;10633;7880;1.67;15.19;4.72;4733000
;Cuba;78.49;77148;6838;30573;2.68;11.11;8.18;11282720
;Ecuador;75.71;95130;6031;41556;2.65;20.85;5.09;15775000
;El salvador;71.94;21991;3466;6907;1.1;19.04;6.91;6344000
;Guatemala;72.6;53851;3453;13829;0.89;26.37;4.93;15596000
;Haití;61.66;8453;813;2368;0.23;26.42;9.19;10400673
;Honduras;74.05;18499;2137;9178;1.06;23.22;4.45;8658000
;México;74.93;1274444;10764;491903;4.01;19.2;5.57;118395000
;Nicaragua;73.2;10983;1790;4641;0.78;22.59;5.03;6134000
;Panamá;77.39;45600;11842;10774;2.81;20.43;4.97;3851000
;Paraguay;73.27;38585;5883;5537;0.86;21.65;5.41;6559000
;Perú;75.26;202091;6631;49511;1.62;19.2;5.58;30475144
;Rep. Dom;72.76;62758;6414;22997;2.24;20.76;6.06;9785000
;Uruguay;77.12;57531;16723;7535;2.21;14.23;9.4;3440000
;Venezuela;72.92;234401;7870;178555;5.89;19.78;6;29783571
2014;Argentina;75.91;563614;13209;208890;4.86;17.7;7.65;42670000
;Bolivia;69.89;33237;3104;19614;1.86;23.23;6.97;10706517
;Brasil;74.75;2456111;12176;558576;2.74;14.62;6.2;201718000
;Chile;79.5;260479;14644;78870;4.48;13.7;5.85;17788000
;Colombia;76.32;381240;7999;79674;1.67;15.73;5.37;47662000
;Costa Rica;79.4;51181;10679;7984;1.68;14.99;4.79;4793000
;Cuba;78.52;80656;7133;30557;2.67;10.99;8.34;11306902
